"Gene","avg_log2FC","Pct_Thrombus_Yes","Pct_Thrombus_No","P_value","Adjusted_P_value"
"VEGFA",2.44062295959607,0.719,0.368,0,0
"ELN",-0.863843986528278,0.342,0.634,0,0
"MYH10",-1.84143795037397,0.195,0.473,0,0
"ADAM33",-1.43690154808799,0.243,0.514,0,0
"MYH11",-1.14493682963466,0.244,0.5,0,0
"FAM118A",-2.49108568223606,0.052,0.301,0,0
"LTBP2",-0.987584693332615,0.248,0.491,0,0
"SPEG",-1.03012094040542,0.216,0.449,0,0
"ITGA8",-1.20377908027391,0.151,0.374,0,0
"LMNA",-0.833414359867027,0.358,0.581,0,0
"CALD1",-0.803231532398711,0.546,0.761,0,0
"ID3",-1.03880539430933,0.112,0.309,0,0
"PLOD2",1.99759340197484,0.276,0.139,0,0
"VMP1",1.16243519357705,0.659,0.523,0,0
"IQCN",-2.1007428646198,0.044,0.158,0,0
"CP",1.86639655139963,0.223,0.139,0,0
"C5orf46",2.39069574549245,0.124,0.05,0,0
"ENO1",1.67693788588244,0.203,0.133,0,0
"TGM2",1.23419445622917,0.238,0.183,0,0
"TNC",1.4294736827573,0.269,0.221,0,0
"SOD2",1.83500835737158,0.234,0.191,0,0
"SPRED3",0.923402722116398,0.254,0.212,0,0
"SAT1",0.944755360570117,0.522,0.481,0,0
"FOS",0.488171952071609,0.725,0.751,0,0
"JUN",0.688569343839001,0.553,0.53,0,0
"PGGHG",0.856548959919914,0.186,0.171,0,0
"FOSB",0.523550808067351,0.505,0.497,0,0
"MCL1",0.479867301881993,0.625,0.631,0,0
"PHC2",0.597771914029342,0.322,0.322,0,0
"CDC42SE1",0.57535637258367,0.388,0.372,1.665001226485e-321,2.52247685812478e-317
"MT1X",-1.33237888877994,0.093,0.29,8.14417810604711e-320,1.23384298306614e-315
"MAFK",-0.646387558160036,0.254,0.389,2.64499334000578e-315,4.00716491010876e-311
"COL21A1",-0.997019390534951,0.18,0.397,1.22541639166235e-303,1.85650583336846e-299
"LMOD1",-1.08784534460612,0.173,0.401,1.88324378611222e-301,2.85311433596002e-297
"CCN1",0.469326095895992,0.409,0.483,4.34490944431812e-300,6.58253780814195e-296
"WSB1",0.700125298068782,0.503,0.485,7.13636600674173e-295,1.08115945002137e-290
"THBS2",0.604854298136207,0.619,0.658,2.29212717697448e-294,3.47257267311633e-290
"HAND2",-1.5722434252613,0.055,0.175,5.35161376931013e-294,8.10769486050485e-290
"SERPINE1",1.06599606320981,0.366,0.307,7.46028881198287e-284,1.1302337550154e-279
"JUND",0.309837258881726,0.589,0.613,1.18346724096969e-280,1.79295287006909e-276
"PILRB",-0.762852764103096,0.1,0.242,2.59745704407609e-280,3.93514742177527e-276
"NR4A1",-1.52783679248279,0.114,0.187,4.9822498904301e-279,7.54810858400159e-275
"SPARC",-1.08698314891357,0.265,0.506,1.29046245524684e-277,1.95505061969896e-273
"KCNK17",-1.87301736268867,0.032,0.125,8.38431554995452e-277,1.27022380581811e-272
