"Cell_Type","Comparison","Group1","Group2","n1","n2","statistic","P_value","Adjusted_P_value","Significance","Panel"
"Endothelial cells","ANGPTL4","No","Yes",1570,385,285863.5,0.000586,0.000753428571428572,"***","By_Thrombus_Status"
"Fibroblasts","ANGPTL4","No","Yes",730,76,32724.5,0.00832,0.00936,"**","By_Thrombus_Status"
"Lymphatic cells","ANGPTL4","No","Yes",785,1347,495185,9.95e-09,1.4925e-08,"****","By_Thrombus_Status"
"Myeloid cells","ANGPTL4","No","Yes",9483,4444,18748335.5,7.07e-112,3.1815e-111,"****","By_Thrombus_Status"
"SMC1","ANGPTL4","No","Yes",48786,13501,315364386.5,7.02e-142,6.318e-141,"****","By_Thrombus_Status"
"SMC2","ANGPTL4","No","Yes",11077,15,91227.5,0.386,0.386,"ns","By_Thrombus_Status"
"SMC3","ANGPTL4","No","Yes",1354,5346,2859399,3.03e-56,6.8175e-56,"****","By_Thrombus_Status"
"SMC4","ANGPTL4","No","Yes",7474,4953,15640334,1.06e-63,3.18e-63,"****","By_Thrombus_Status"
"SMC5","ANGPTL4","No","Yes",3445,1712,2710271.5,1.33e-11,2.394e-11,"****","By_Thrombus_Status"
"Endothelial cells","ANGPTL4","Adjacent normal","Dissection tissue",978,1955,919067,0.00012,0.000154285714285714,"***","By_Tissue_Type"
"Fibroblasts","ANGPTL4","Adjacent normal","Dissection tissue",150,806,33952,7.88e-19,7.092e-18,"****","By_Tissue_Type"
"Lymphatic cells","ANGPTL4","Adjacent normal","Dissection tissue",442,2132,444796.5,2.76e-06,4.14e-06,"****","By_Tissue_Type"
"Myeloid cells","ANGPTL4","Adjacent normal","Dissection tissue",1258,13927,8284346,2.15e-12,4.8375e-12,"****","By_Tissue_Type"
"SMC1","ANGPTL4","Adjacent normal","Dissection tissue",21260,62287,669964421,1.17e-16,5.265e-16,"****","By_Tissue_Type"
"SMC2","ANGPTL4","Adjacent normal","Dissection tissue",1737,11092,8811428,1.35e-14,4.05e-14,"****","By_Tissue_Type"
"SMC3","ANGPTL4","Adjacent normal","Dissection tissue",698,6700,2115882.5,2.99e-08,5.382e-08,"****","By_Tissue_Type"
"SMC4","ANGPTL4","Adjacent normal","Dissection tissue",926,12427,5876284,0.214,0.214,"ns","By_Tissue_Type"
"SMC5","ANGPTL4","Adjacent normal","Dissection tissue",1728,5157,4348288,0.0306,0.034425,"*","By_Tissue_Type"
