"UMAP_1","UMAP_2","Myeloid_Subtype"
-3.21724074790499,-1.79447166851409,"M1 Macrophages"
-3.97628205726168,0.417984736648718,"Classical Monocytes"
-5.42019074866793,-4.96666352680572,"M1 Macrophages"
-2.91805106112979,-1.98371105125793,"M1 Macrophages"
-4.50987904975436,-2.15823380878814,"M1 Macrophages"
-3.23430245826266,-2.29295389583953,"M1 Macrophages"
-4.90919941375277,-2.7748958342398,"M1 Macrophages"
-1.11920249173663,-3.71132986477264,"M1 Macrophages"
6.70558148910978,-1.27171884706863,"Platelets"
-5.29114764640353,-2.45110647610076,"M1 Macrophages"
-1.16331395218394,-3.5256544821585,"M1 Macrophages"
-3.93503421256564,-1.35379259518035,"M1 Macrophages"
-5.30421155402682,-2.35052792957672,"M1 Macrophages"
-0.652582404113032,5.98061401912324,"M1 Macrophages"
-3.35027140090487,-2.60010664394744,"M1 Macrophages"
-2.69592934558413,-3.0015324824179,"M1 Macrophages"
-1.68117858181021,-1.99181406429656,"Mast cells"
4.73480826904752,-2.81408994129547,"M2 Macrophages"
-2.56104057738803,-2.26837162903198,"M1 Macrophages"
-3.48631280372164,-1.63340585163482,"M1 Macrophages"
-4.71123546073458,1.03885717460267,"Classical Monocytes"
-4.78695815513156,-2.81231682232269,"M1 Macrophages"
-3.88444488952182,0.100421739307562,"Classical Monocytes"
-2.80329292724154,-1.7584665291632,"M1 Macrophages"
-3.96773999640963,1.21125943729035,"Classical Monocytes"
-3.58810370872042,-2.38107721737274,"M1 Macrophages"
-3.93062561461947,-2.81085007122405,"M1 Macrophages"
-3.10100894877932,-2.41504149368652,"M1 Macrophages"
-2.50163036296389,-2.40867881706603,"M1 Macrophages"
-3.58918946692965,-1.53491871288665,"M1 Macrophages"
-3.24994605491183,0.129690540519873,"Classical Monocytes"
-3.89493864486239,-1.76877205303558,"M1 Macrophages"
-5.71615904281161,-5.94193952015289,"M1 Macrophages"
-4.67699354598544,-3.00462095669158,"M1 Macrophages"
-3.33901768634341,-3.0822209589804,"M1 Macrophages"
-3.79498880813143,-1.8179935686911,"M1 Macrophages"
-3.36899584243319,-0.193863751801332,"Classical Monocytes"
-1.95937972972415,-1.86412875584014,"Mast cells"
5.06190568497159,-4.36373083523162,"Platelets"
-3.40163117358706,-1.55379168918975,"M1 Macrophages"
-3.59731214950106,-2.49153654507049,"M1 Macrophages"
-1.66669124076388,-2.08912126949676,"Mast cells"
-2.71935385177157,-1.24592732122787,"M1 Macrophages"
-2.6027626366379,3.28274686404816,"Classical Monocytes"
-5.38032859275363,1.45165510245911,"Classical Monocytes"
-4.43800705382846,-3.14309661320098,"M1 Macrophages"
-4.78982275435946,-2.39646975925811,"M1 Macrophages"
0.497861447834752,1.2709102160608,"M1 Macrophages"
-4.06686800429843,1.50909359523408,"Classical Monocytes"
-2.88789719054721,-3.71717564991363,"M1 Macrophages"
-1.4896664329829,-2.97743837765106,"M1 Macrophages"
-4.02743404815219,-1.50680570534118,"M1 Macrophages"
-2.83848029086611,-4.1491634123648,"M1 Macrophages"
-3.55844157645724,-2.90635006359466,"M1 Macrophages"
-3.85671466300509,-2.38357226780303,"M1 Macrophages"
-2.56945484588168,-1.95859246185668,"M1 Macrophages"
7.09091264297941,-4.16525332859405,"Platelets"
-3.07613318870089,-1.13639120987304,"M1 Macrophages"
-3.47151738116763,-4.13412754467376,"M1 Macrophages"
-3.25256651351474,-1.65671734741577,"M1 Macrophages"
-0.647268888449885,-2.77192728451141,"M1 Macrophages"
-3.67884963462374,-2.16947238376983,"M1 Macrophages"
-5.02457993934176,-1.87227814129241,"M1 Macrophages"
-0.88882213542483,-3.31396191051849,"Mast cells"
-3.12337284991763,-3.85123245647796,"M1 Macrophages"
-3.45090120742343,-2.13863925865539,"M1 Macrophages"
-2.99684792468569,-3.85046617916473,"M1 Macrophages"
5.94903928329923,-3.70836322239288,"Platelets"
-2.76238017985842,-2.60280959537872,"M1 Macrophages"
-2.59224003264926,-4.00334327152618,"M1 Macrophages"
-3.20029371688388,-1.98748712471374,"M1 Macrophages"
-4.4112731785538,-2.47701280048736,"M1 Macrophages"
-4.37316888282321,-2.15703694752105,"M1 Macrophages"
-3.30088859508059,-1.70546739033111,"M1 Macrophages"
-3.22175663421176,0.220659447399298,"M1 Macrophages"
-4.41763657043002,1.23054165908448,"Classical Monocytes"
6.96414166977384,-3.86125986507781,"Platelets"
-0.967920896506526,-2.27914135387786,"M1 Macrophages"
-3.41297608325503,-3.89494078091033,"M1 Macrophages"
-4.38085359046481,1.80158002444855,"Classical Monocytes"
-5.55339783141635,-5.0188938849295,"M1 Macrophages"
-4.06339734504244,-3.37294523647674,"M1 Macrophages"
-3.72644990394137,-0.793192076000055,"M1 Macrophages"
5.34498530914762,-3.87666933468231,"Platelets"
-0.0897743077041881,5.24626715251557,"M2 Macrophages"
-1.21940591642878,-3.32004420688995,"Mast cells"
-3.25425940463565,3.22092540332429,"Classical Monocytes"
-5.45657294700167,1.66411502429597,"Classical Monocytes"
-3.81301849792025,0.392869663921515,"Classical Monocytes"
-3.35238188216708,-2.06879203251251,"M1 Macrophages"
-5.01808207938693,-1.92059366634735,"M1 Macrophages"
-2.38513910481951,4.18121798106782,"Classical Monocytes"
-3.21833318183444,-1.83715825012573,"M1 Macrophages"
-3.39519792506716,-4.16530005863555,"M1 Macrophages"
-2.89094608733676,-3.541561292919,"M1 Macrophages"
-4.69218724677584,-3.56912271908172,"M1 Macrophages"
-3.11917870948336,-2.25072317055114,"M1 Macrophages"
-4.16162985274813,-1.79517619541534,"M1 Macrophages"
-3.47883087108157,-0.80649505785354,"M1 Macrophages"
-2.31125700185321,-1.34308670690902,"M1 Macrophages"
-4.50200980613253,-3.31756036213287,"M1 Macrophages"
-4.69217675635836,1.88335568973176,"Classical Monocytes"
-4.11007374236605,0.658038807598273,"Classical Monocytes"
-3.02701204726718,-0.589195447477182,"M1 Macrophages"
-3.99954265067599,0.274548185554663,"Classical Monocytes"
-2.70645862529299,-4.07175867489227,"M1 Macrophages"
-4.96705835769198,0.516022396770636,"M1 Macrophages"
-4.20571058700106,-2.33137087753662,"M1 Macrophages"
-3.11883574435733,2.91661913463227,"Classical Monocytes"
-4.52236884543917,2.0237258202707,"Classical Monocytes"
-0.82458281228564,-0.824138241323312,"M1 Macrophages"
-4.05244558761141,-1.77405862739929,"M1 Macrophages"
1.07746345093229,-2.93479292324432,"Megakaryocyte"
-1.66289967010043,-1.98435192039855,"Mast cells"
-3.04985886523745,-1.98256568840392,"M1 Macrophages"
-1.90277975509188,-1.14063637188323,"M1 Macrophages"
-4.86127870986483,-0.273026274951776,"M1 Macrophages"
-1.93674465725444,-0.15005745223411,"Classical Monocytes"
-3.08257537791751,-3.93474690845855,"M1 Macrophages"
-4.17862957427523,-2.30544214180358,"M1 Macrophages"
-1.06551703522227,-2.90493433407195,"Mast cells"
-4.01700108954928,-0.693921374591669,"Classical Monocytes"
-2.81701224753878,-0.597032549294313,"Classical Monocytes"
-4.45772427032015,-2.08120303085693,"M1 Macrophages"
-1.7264744312527,-1.83182518413909,"Mast cells"
7.36480504562833,-3.2946392767752,"Platelets"
6.67925721695402,-3.78949277332672,"Platelets"
-0.797042963004329,4.3824904687082,"M1 Macrophages"
-3.80090254256747,-3.49835793903716,"M1 Macrophages"
-2.26156097362063,-1.79263214996704,"M1 Macrophages"
-2.39083110997698,-3.13279430797943,"M1 Macrophages"
-4.02989715049288,-3.39527790478118,"M1 Macrophages"
-4.47475760886691,-3.48339598110565,"M1 Macrophages"
-3.72137826392672,-4.26489393642791,"M1 Macrophages"
-0.761082705950953,4.07833702632538,"Classical Monocytes"
-4.51669710586093,1.87810928889863,"Classical Monocytes"
-5.23748868415377,-2.39452450207122,"M1 Macrophages"
-3.6625098557236,-1.44048391512283,"M1 Macrophages"
-3.99994080970309,1.76598198482148,"Classical Monocytes"
-5.31149285743258,1.12179358073823,"Classical Monocytes"
-3.48189013907931,-2.9341828101004,"M1 Macrophages"
-3.15629094550631,-2.87601320675262,"M1 Macrophages"
-4.78940790603182,-0.753390150579294,"M1 Macrophages"
-4.57408779571078,-1.83089141777404,"M1 Macrophages"
-4.26212781379244,-1.88719181946166,"M1 Macrophages"
-2.32316523501895,-3.58540384701141,"M1 Macrophages"
-3.0789406866791,2.4002328641092,"Classical Monocytes"
-5.40029567191622,1.52528448173157,"Classical Monocytes"
