"exp","subtype","Cell_Count","Percentage"
"Adjacent normal","SMC1",21260,80.686174048351
"Adjacent normal","SMC2",1737,6.59228054195605
"Adjacent normal","SMC3",698,2.64905689020456
"Adjacent normal","SMC4",926,3.51436487153213
"Adjacent normal","SMC5",1728,6.55812364795628
"Dissection tissue","SMC1",62287,63.7774797006031
"Dissection tissue","SMC2",11092,11.357422974924
"Dissection tissue","SMC3",6700,6.86032581427972
"Dissection tissue","SMC4",12427,12.7243684916499
"Dissection tissue","SMC5",5157,5.28040301854336
