"SMC_Subtype","Pathway_ID","Description","setSize","enrichmentScore","NES","P_value","Adjusted_P_value","core_enrichment"
"SMC1","M5956","HALLMARK KRAS SIGNALING DN",14,0.54391647051367,1.53621702313043,0.0468467907613771,0.0843242233704787,"THRB/EFHD1/MAST3/BTG2"
"SMC1","M5893","HALLMARK MITOTIC SPINDLE",84,0.301615463361418,1.30746667519011,0.0488119638654824,0.0844822451517965,"MYH10/SORBS2/PKD2/NET1/STK38L/SOS1/CEP131/RABGAP1/RANBP9/KLC1/CNTRL/HDAC6/PLEKHG2/KIF1B/CDK5RAP2/ROCK1/PCNT/CLASP1"
"SMC1","M5935","HALLMARK FATTY ACID METABOLISM",21,0.305092047785808,0.967179743007243,0.495685252368708,0.531091341823616,"ACADL/ALDH3A2/ACSS1/D2HGDH/PTPRG/ACAA1/HSD17B4"
"SMC2","M5930","HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",128,0.521412192462167,2.05763852164829,5.61968738344864e-08,1.34872497202767e-06,"IGFBP2/COL1A2/TIMP1/COL8A2/FMOD/COL6A3/FN1/LGALS1/COL4A1/HTRA1/LRP1/COL7A1/COL3A1/SPARC/MGP/LAMA2/COL1A1/VCAM1/TAGLN/PPIB/GPC1/NID2/TNC/SDC4/PCOLCE/FLNA/PLOD1/QSOX1/GAS1/SPOCK1/COL4A2/ITGB1/EMP3/COL5A1/TIMP3/NNMT/MMP14/CTHRC1/TGFBI/TGM2/BMP1/MMP2/SFRP1/SERPINH1/GADD45A/MYL9/GJA1/FAP/CXCL12/ITGB5/SNAI2/BGN/CDH2/IGFBP4/COL5A3/BASP1/PVR"
"SMC2","M5946","HALLMARK COAGULATION",54,0.648831583195822,2.25235575818581,1.2951023428774e-07,2.07216374860385e-06,"CLU/TIMP1/FN1/PRSS23/PLAT/THBD/C1S/HTRA1/LRP1/SPARC/WDR1/C1R/RAC1/MSRB2/CFH/GSN/CSRP1/CTSB/TIMP3/MMP14/LGMN/USP11/BMP1/MMP2/A2M/SERPING1/CD9/GNB2"
"SMC2","M5913","HALLMARK INTERFERON GAMMA RESPONSE",85,0.476964204517409,1.78121813392261,0.000262700308985602,0.00315240370782722,"ISG15/LGALS3BP/FGL2/CD74/IFITM3/C1S/VAMP5/APOL6/VCAM1/C1R/NLRC5/SSPN/LY6E/RBCK1/B2M/CMKLR1/TAP1/CFH/TAPBP/SAMHD1/SPPL2A/TXNIP/IRF9/IFI35/RIPK1/STAT1/PML/SERPING1"
"SMC2","M5921","HALLMARK COMPLEMENT",79,0.460752543914199,1.70244105754483,0.00123839009287926,0.00990712074303406,"CLU/TIMP1/CTSD/FN1/CTSC/PLAT/C1S/LRP1/CTSL/C1R/BRPF3/CFH/COL4A2/CSRP1/PPP2CB/CTSB/TIMP2/MMP14/LGMN/CEBPB/SERPING1/ATOX1/HSPA1A/GNB2/PSEN1/PFN1/ZEB1/USP8/PRDM4/ANXA5/IRF7/DGKH/S100A13/LAMP2"
"SMC2","M5915","HALLMARK APICAL JUNCTION",97,0.438819505867295,1.67129961609466,0.00120006857534716,0.00990712074303406,"ACTG1/CNN2/ACTB/ACTG2/MSN/VCAM1/SDC3/RRAS/CD276/TRAF1/CERCAM/ITGB1/SHC1/ITGA3/TGFBI/MAPK14/ADAM15/CX3CL1/BMP1/MMP2/YWHAH/CD99/ITGA10/ZYX/MYL9/SPEG/NF1/DHX16/NLGN2/JUP/PKD1/GTF2F1/PBX2/TSPAN4"
"SMC2","M5911","HALLMARK INTERFERON ALPHA RESPONSE",44,0.487845100752135,1.63081027785612,0.00771494581660157,0.034956304619226,"ISG15/LGALS3BP/CD74/IFITM3/C1S/LY6E/B2M/TAP1/PROCR/CSF1/TXNIP/IRF9/IFI35"
"SMC2","M5910","HALLMARK PROTEIN SECRETION",60,0.449192197428144,1.58740581843367,0.008404579046515,0.034956304619226,"CD63/ARF1/CTSC/TMED10/SSPN/CLTA/ATP1A1/RAB5A/COPE/SOD1/SEC31A/PAM/MON2/RER1/COPB2/AP1G1/DST/ARFGEF1/COPB1/IGF2R/GBF1/SEC22B/LAMP2"
"SMC2","M5909","HALLMARK MYOGENESIS",93,0.41319062265732,1.56423861291618,0.00585422366831817,0.034956304619226,"CLU/SOD3/COL6A3/IGFBP7/PRNP/ATP6AP1/COL3A1/SPARC/LAMA2/COL1A1/TAGLN/SSPN/SPHK1/AEBP1/COL4A2/ITGB1/COX7A1/GSN/COL15A1/EIF4A2/EFS/AGRN/AK1/GPX3/HSPB2/PPP1R3C/SPEG"
"SMC2","M5905","HALLMARK ADIPOGENESIS",97,0.409775036595791,1.56068007960164,0.00573093972716808,0.034956304619226,"COX8A/ETFB/COL4A1/RTN3/CAVIN1/NDUFB7/SSPN/MGST3/CD151/PHLDB1/COL15A1/SPARCL1/DHRS7/SOD1/CYC1/GADD45A/GPX3/APLP2/SQOR/FZD4/MIGA2/ENPP2/TALDO1/SNCG/ADCY6/UQCRC1/SLC1A5/G3BP2/SLC25A1"
"SMC2","M5936","HALLMARK OXIDATIVE PHOSPHORYLATION",85,0.416218111757468,1.55436244755421,0.00770587573024431,0.034956304619226,"COX8A/NDUFC2/ETFB/ATP6AP1/NDUFB7/ATP5F1D/ATP5F1E/MGST3/BDH2/VDAC2/NDUFB5/ATP5MC2/COX11/TIMM50/CYC1/NDUFS6/NDUFA4/ATP5MG/OXA1L/SURF1/UQCRC1/NDUFV2/SLC25A4"
