"SMC_Subtype","Pathway_ID","Description","setSize","enrichmentScore","NES","P_value","Adjusted_P_value","core_enrichment"
"SMC1","M11615","CHANDRAN METASTASIS DN",88,0.472226068580442,2.06443885699258,1.37412728255238e-06,8.02014673566629e-05,"NEXN/PPP1R12B/SORBS2/SORBS1/CCN2/PCDH7/FOS/IER2/PER3/LIMS2/FOSB/EGR3/PDE5A/SLMAP/NR4A1/ARHGEF10/TNS1/BTG2/MEGF6/ACYP2/ZFP36/SMTN/CIRBP/MYLK/RASL12"
"SMC1","M2196","GABRIELY MIR21 TARGETS",80,0.453508195453215,1.95060850148518,1.65056780675387e-05,0.000486356630436697,"MYEF2/CALD1/LIMCH1/PKD2/PER3/TPM1/FNBP1/TRIM38/SRSF11/OSR1/VPS13A/TGFBR2/GNAQ/TRIM33/MPDZ/RABGAP1/NFIB/CNTRL/MEIS1/PDCD4/FBXL17/SPIN1/EIF4EBP2/COL5A2/BMPR2"
"SMC1","M29793","REACTOME NGF STIMULATED TRANSCRIPTION",17,0.746192000719252,2.23570863382456,2.37685537534672e-05,0.000645128967306834,"FOS/JUND/EGR1/FOSB/EGR3/SRF/ID3/EP300/DNM2/ATF2"
"SMC1","M19529","RODRIGUES THYROID CARCINOMA ANAPLASTIC DN",139,0.369226681722385,1.73478374688806,2.5598074581231e-05,0.000687523507557841,"ECM2/PDGFD/FOS/ACTA2/PLSCR4/EGR1/FNBP1/EGR3/PRKG1/ICA1L/ALDH3A2/ECHDC2/ITGA1/TNS1/SH3BGRL/SCARA3/FOXP1/DCAF8/TCF4/CIRBP/HGSNAT/GLT8D2/LBH/TACC2/TOM1L2/RBPMS/SNRPN/BCL2/CCDC92/GNAQ/N4BP2L2/GRK5/CAV2/SNX1/CRTC3/AGO1/PBXIP1/PTPRG/SLC66A2/ARHGAP24/OFD1/ACAA1/GIT2/ZSCAN18/RILPL2/RILPL1/KIDINS220/NDFIP1/ZNF706/ZFYVE21/PDLIM5/RIMKLB/CPQ/ZFP36L2"
"SMC1","M16651","RODRIGUES THYROID CARCINOMA POORLY DIFFERENTIATED DN",260,0.298864435919897,1.50776050487496,3.08540307768833e-05,0.000800358832545648,"ECM2/SORBS2/LIMCH1/PDGFD/NET1/CCN2/JUND/ACTA2/PER3/PAGR1/FNBP1/PPP1R21/JUN/C2orf68/ALDH3A2/CHKB/RBL2/ECHDC2/ITGA1/TNS1/CAPN3/PRMT2/FOXP1/SRRM2/DCAF8/TCF4/ATXN3/MRI1/CIRBP/PATJ/TRIM38/BSDC1/L3MBTL1/SRSF11/UFL1/MYLK/COL4A3/LBH/TOM1L2/RBPMS/TGFBR2/BCL2/CCDC92/ZNF493/PNISR/N4BP2L2/AKT3/SELENBP1/PDCD4/FBXL17/UVSSA/SNX1/ERBB2/CRTC3/IL11RA/INPP5A/KCTD10/PGAP3/PTPRG/KDM3B/RNF146/AKAP9/ANXA4/OFD1/ACAA1/MAP3K20/CSRNP1/GSTK1/ZSCAN18"
"SMC1","M4389","RIZ ERYTHROID DIFFERENTIATION 12HR",11,0.832922602931461,2.18596061895848,3.89761407959803e-05,0.00093073362684696,"HAND2/FOS/EGR1/JUN/SATB1"
"SMC1","M1429","REACTOME SMOOTH MUSCLE CONTRACTION",20,0.707273283545588,2.21913607650662,5.10354862023019e-05,0.00113060365418968,"MYH11/LMOD1/CALD1/SORBS1/ACTA2/TPM1/PDE5A/ITGA1/TPM2/MYL9/MYLK"
"SMC1","M16932","CHIANG LIVER CANCER SUBCLASS PROLIFERATION DN",18,0.729579255956964,2.21955625325221,5.42583160207423e-05,0.00118470495771908,"ACADL/ECM2/SORBS2/HAGH/ALDH3A2/ECHDC2/RHOB/ACYP2/CPED1/MPDZ/SELENBP1"
"SMC1","M5485","REACTOME MUSCLE CONTRACTION",40,0.54289983195643,2.02929071228506,5.98275453230878e-05,0.00127870845109557,"MYH11/LMOD1/CALD1/SORBS1/KCNK17/ACTA2/TPM1/PDE5A/ITGA1/DMPK/TPM2/MYL9/CAMK2D/MYLK"
"SMC1","M5618","TURASHVILI BREAST DUCTAL CARCINOMA VS LOBULAR NORMAL DN",19,0.718624735335105,2.22128301375655,0.000101263700033546,0.00190931050229444,"IQCN/MYH11/SORBS1/FOS/ACTA2/FOSB/MYLK/NFIB"
"SMC2","M5889","NABA MATRISOME",235,0.584826038869729,2.45418559839679,2.68756888622706e-21,1.09034669714232e-17,"IGFBP2/COL1A2/FGL2/TIMP1/COL8A2/FMOD/CST3/EMILIN1/CSPG4/COL6A3/CTSD/SERPINA3/S100A11/IGFBP7/FN1/LGALS1/CCN5/CTSC/S100A4/LAMB1/PLAT/CTSZ/COL27A1/COL4A1/HTRA1/PRELP/COL7A1/COL3A1/C1QTNF1/SPARC/MGP/IGFBP6/S100A6/CTSL/LAMA2/COL1A1/LTBP4/COL8A1/MMP23B/CLEC11A/MFAP4/COL14A1/SDC3/SRGN/IGFBP5/MEGF8/GPC1/NID2/TNC/COL18A1/SDC4/AEBP1/LTBP3/S100A10/PCOLCE/PLOD1/SPOCK1/COL4A2/ADAMTS2/FRZB/CTSB/COL5A1/LAMB2/TIMP3/EGLN2/ANXA2/TNFSF12/ANGPTL2/TIMP2/MMP14/CTHRC1/COL15A1/OGN/TGFBI/P3H3/TGM2/ADAM15/SPARCL1/CX3CL1/ADAMTS8/MUC20/CLCF1/BMP1/AGRN/MMP2/CSF1/SFRP1/SERPINH1/MFGE8/NTN1/LTBP2"
