"Source","Target","Interaction_Count","Condition"
"Endothelial cells","Endothelial cells",8,"Normal"
"Endothelial cells","Fibroblasts",2,"Normal"
"Endothelial cells","Lymphatic cells",6,"Normal"
"Endothelial cells","Myeloid cells",6,"Normal"
"Endothelial cells","SMC1",3,"Normal"
"Endothelial cells","SMC2",39,"Normal"
"Endothelial cells","SMC3",6,"Normal"
"Endothelial cells","SMC4",5,"Normal"
"Endothelial cells","SMC5",3,"Normal"
"Fibroblasts","Endothelial cells",3,"Normal"
"Fibroblasts","Fibroblasts",7,"Normal"
"Fibroblasts","Lymphatic cells",7,"Normal"
"Fibroblasts","Myeloid cells",8,"Normal"
"Fibroblasts","SMC1",3,"Normal"
"Fibroblasts","SMC2",66,"Normal"
"Fibroblasts","SMC3",4,"Normal"
"Fibroblasts","SMC4",11,"Normal"
"Fibroblasts","SMC5",1,"Normal"
"Lymphatic cells","Endothelial cells",0,"Normal"
"Lymphatic cells","Fibroblasts",0,"Normal"
"Lymphatic cells","Lymphatic cells",0,"Normal"
"Lymphatic cells","Myeloid cells",0,"Normal"
"Lymphatic cells","SMC1",0,"Normal"
"Lymphatic cells","SMC2",5,"Normal"
"Lymphatic cells","SMC3",0,"Normal"
"Lymphatic cells","SMC4",0,"Normal"
"Lymphatic cells","SMC5",0,"Normal"
"Myeloid cells","Endothelial cells",1,"Normal"
"Myeloid cells","Fibroblasts",0,"Normal"
"Myeloid cells","Lymphatic cells",0,"Normal"
"Myeloid cells","Myeloid cells",0,"Normal"
"Myeloid cells","SMC1",0,"Normal"
"Myeloid cells","SMC2",4,"Normal"
"Myeloid cells","SMC3",0,"Normal"
"Myeloid cells","SMC4",1,"Normal"
"Myeloid cells","SMC5",0,"Normal"
"SMC1","Endothelial cells",1,"Normal"
"SMC1","Fibroblasts",0,"Normal"
"SMC1","Lymphatic cells",6,"Normal"
"SMC1","Myeloid cells",6,"Normal"
"SMC1","SMC1",1,"Normal"
"SMC1","SMC2",39,"Normal"
"SMC1","SMC3",1,"Normal"
"SMC1","SMC4",7,"Normal"
"SMC1","SMC5",1,"Normal"
"SMC2","Endothelial cells",3,"Normal"
"SMC2","Fibroblasts",5,"Normal"
"SMC2","Lymphatic cells",13,"Normal"
"SMC2","Myeloid cells",14,"Normal"
"SMC2","SMC1",10,"Normal"
"SMC2","SMC2",82,"Normal"
"SMC2","SMC3",11,"Normal"
"SMC2","SMC4",13,"Normal"
"SMC2","SMC5",3,"Normal"
"SMC3","Endothelial cells",1,"Normal"
"SMC3","Fibroblasts",0,"Normal"
"SMC3","Lymphatic cells",4,"Normal"
"SMC3","Myeloid cells",4,"Normal"
"SMC3","SMC1",1,"Normal"
"SMC3","SMC2",40,"Normal"
"SMC3","SMC3",1,"Normal"
"SMC3","SMC4",6,"Normal"
"SMC3","SMC5",1,"Normal"
"SMC4","Endothelial cells",2,"Normal"
"SMC4","Fibroblasts",1,"Normal"
"SMC4","Lymphatic cells",7,"Normal"
"SMC4","Myeloid cells",7,"Normal"
"SMC4","SMC1",3,"Normal"
"SMC4","SMC2",55,"Normal"
"SMC4","SMC3",3,"Normal"
"SMC4","SMC4",9,"Normal"
"SMC4","SMC5",1,"Normal"
"SMC5","Endothelial cells",2,"Normal"
"SMC5","Fibroblasts",2,"Normal"
"SMC5","Lymphatic cells",9,"Normal"
"SMC5","Myeloid cells",9,"Normal"
"SMC5","SMC1",2,"Normal"
"SMC5","SMC2",59,"Normal"
"SMC5","SMC3",4,"Normal"
"SMC5","SMC4",9,"Normal"
"SMC5","SMC5",2,"Normal"
"Endothelial cells","Endothelial cells",8,"AD"
"Endothelial cells","Fibroblasts",9,"AD"
"Endothelial cells","Lymphatic cells",6,"AD"
"Endothelial cells","Myeloid cells",7,"AD"
"Endothelial cells","SMC1",1,"AD"
"Endothelial cells","SMC2",55,"AD"
"Endothelial cells","SMC3",6,"AD"
"Endothelial cells","SMC4",6,"AD"
"Endothelial cells","SMC5",1,"AD"
"Fibroblasts","Endothelial cells",7,"AD"
"Fibroblasts","Fibroblasts",19,"AD"
"Fibroblasts","Lymphatic cells",11,"AD"
"Fibroblasts","Myeloid cells",15,"AD"
"Fibroblasts","SMC1",0,"AD"
"Fibroblasts","SMC2",91,"AD"
"Fibroblasts","SMC3",11,"AD"
"Fibroblasts","SMC4",12,"AD"
"Fibroblasts","SMC5",0,"AD"
"Lymphatic cells","Endothelial cells",1,"AD"
"Lymphatic cells","Fibroblasts",1,"AD"
"Lymphatic cells","Lymphatic cells",0,"AD"
"Lymphatic cells","Myeloid cells",0,"AD"
"Lymphatic cells","SMC1",0,"AD"
"Lymphatic cells","SMC2",12,"AD"
"Lymphatic cells","SMC3",0,"AD"
"Lymphatic cells","SMC4",0,"AD"
"Lymphatic cells","SMC5",0,"AD"
"Myeloid cells","Endothelial cells",1,"AD"
"Myeloid cells","Fibroblasts",1,"AD"
"Myeloid cells","Lymphatic cells",0,"AD"
"Myeloid cells","Myeloid cells",1,"AD"
"Myeloid cells","SMC1",0,"AD"
"Myeloid cells","SMC2",12,"AD"
"Myeloid cells","SMC3",0,"AD"
"Myeloid cells","SMC4",0,"AD"
"Myeloid cells","SMC5",0,"AD"
"SMC1","Endothelial cells",1,"AD"
"SMC1","Fibroblasts",7,"AD"
"SMC1","Lymphatic cells",7,"AD"
"SMC1","Myeloid cells",7,"AD"
"SMC1","SMC1",0,"AD"
"SMC1","SMC2",49,"AD"
"SMC1","SMC3",6,"AD"
"SMC1","SMC4",7,"AD"
"SMC1","SMC5",0,"AD"
"SMC2","Endothelial cells",6,"AD"
"SMC2","Fibroblasts",23,"AD"
"SMC2","Lymphatic cells",17,"AD"
"SMC2","Myeloid cells",19,"AD"
"SMC2","SMC1",2,"AD"
"SMC2","SMC2",116,"AD"
"SMC2","SMC3",17,"AD"
"SMC2","SMC4",17,"AD"
"SMC2","SMC5",3,"AD"
"SMC3","Endothelial cells",2,"AD"
"SMC3","Fibroblasts",9,"AD"
"SMC3","Lymphatic cells",3,"AD"
"SMC3","Myeloid cells",7,"AD"
"SMC3","SMC1",1,"AD"
"SMC3","SMC2",49,"AD"
"SMC3","SMC3",3,"AD"
"SMC3","SMC4",5,"AD"
"SMC3","SMC5",1,"AD"
"SMC4","Endothelial cells",2,"AD"
"SMC4","Fibroblasts",10,"AD"
"SMC4","Lymphatic cells",6,"AD"
"SMC4","Myeloid cells",8,"AD"
"SMC4","SMC1",1,"AD"
"SMC4","SMC2",66,"AD"
"SMC4","SMC3",6,"AD"
"SMC4","SMC4",8,"AD"
"SMC4","SMC5",1,"AD"
"SMC5","Endothelial cells",1,"AD"
"SMC5","Fibroblasts",10,"AD"
"SMC5","Lymphatic cells",10,"AD"
"SMC5","Myeloid cells",9,"AD"
"SMC5","SMC1",0,"AD"
"SMC5","SMC2",63,"AD"
"SMC5","SMC3",9,"AD"
"SMC5","SMC4",9,"AD"
"SMC5","SMC5",0,"AD"
