"Source","Target","Interaction_Weight","Condition"
"Endothelial cells","Endothelial cells",0.517883488181497,"Normal"
"Endothelial cells","Fibroblasts",0.0226818056982317,"Normal"
"Endothelial cells","Lymphatic cells",0.23119432486334,"Normal"
"Endothelial cells","Myeloid cells",0.322930549199264,"Normal"
"Endothelial cells","SMC1",0.0491145747179401,"Normal"
"Endothelial cells","SMC2",1.03732676395007,"Normal"
"Endothelial cells","SMC3",0.0846516318019897,"Normal"
"Endothelial cells","SMC4",0.510356336545326,"Normal"
"Endothelial cells","SMC5",0.0525323979858347,"Normal"
"Fibroblasts","Endothelial cells",0.0531672594796828,"Normal"
"Fibroblasts","Fibroblasts",0.0875200630239319,"Normal"
"Fibroblasts","Lymphatic cells",0.286759391189516,"Normal"
"Fibroblasts","Myeloid cells",0.285092352677345,"Normal"
"Fibroblasts","SMC1",0.0268242679172682,"Normal"
"Fibroblasts","SMC2",2.23369401588098,"Normal"
"Fibroblasts","SMC3",0.046276756209795,"Normal"
"Fibroblasts","SMC4",1.16458981948664,"Normal"
"Fibroblasts","SMC5",0.0113451870177625,"Normal"
"Lymphatic cells","Endothelial cells",0,"Normal"
"Lymphatic cells","Fibroblasts",0,"Normal"
"Lymphatic cells","Lymphatic cells",0,"Normal"
"Lymphatic cells","Myeloid cells",0,"Normal"
"Lymphatic cells","SMC1",0,"Normal"
"Lymphatic cells","SMC2",0.0903241472661591,"Normal"
"Lymphatic cells","SMC3",0,"Normal"
"Lymphatic cells","SMC4",0,"Normal"
"Lymphatic cells","SMC5",0,"Normal"
"Myeloid cells","Endothelial cells",0.0172926539246012,"Normal"
"Myeloid cells","Fibroblasts",0,"Normal"
"Myeloid cells","Lymphatic cells",0,"Normal"
"Myeloid cells","Myeloid cells",0,"Normal"
"Myeloid cells","SMC1",0,"Normal"
"Myeloid cells","SMC2",0.0918328404032656,"Normal"
"Myeloid cells","SMC3",0,"Normal"
"Myeloid cells","SMC4",0.0595384635905362,"Normal"
"Myeloid cells","SMC5",0,"Normal"
"SMC1","Endothelial cells",0.0156219452345655,"Normal"
"SMC1","Fibroblasts",0,"Normal"
"SMC1","Lymphatic cells",0.525212933055045,"Normal"
"SMC1","Myeloid cells",0.483945386709912,"Normal"
"SMC1","SMC1",0.00572749874755681,"Normal"
"SMC1","SMC2",2.31151828944599,"Normal"
"SMC1","SMC3",0.00690294238665644,"Normal"
"SMC1","SMC4",1.24970629486183,"Normal"
"SMC1","SMC5",0.0199881021282736,"Normal"
"SMC2","Endothelial cells",0.158804893198148,"Normal"
"SMC2","Fibroblasts",0.0197133265691401,"Normal"
"SMC2","Lymphatic cells",0.759320659377673,"Normal"
"SMC2","Myeloid cells",0.741425730952238,"Normal"
"SMC2","SMC1",0.255439694615106,"Normal"
"SMC2","SMC2",3.41704723267509,"Normal"
"SMC2","SMC3",0.314834819205707,"Normal"
"SMC2","SMC4",1.72990610969866,"Normal"
"SMC2","SMC5",0.073376841946078,"Normal"
"SMC3","Endothelial cells",0.0944879155790179,"Normal"
"SMC3","Fibroblasts",0,"Normal"
"SMC3","Lymphatic cells",0.306227855660318,"Normal"
"SMC3","Myeloid cells",0.281900141182814,"Normal"
"SMC3","SMC1",0.00835975230826951,"Normal"
"SMC3","SMC2",1.94849833659988,"Normal"
"SMC3","SMC3",0.0100767287320936,"Normal"
"SMC3","SMC4",0.992422759870171,"Normal"
"SMC3","SMC5",0.0290586828314904,"Normal"
"SMC4","Endothelial cells",0.117341372302272,"Normal"
"SMC4","Fibroblasts",0.00417146374924936,"Normal"
"SMC4","Lymphatic cells",0.51677087169264,"Normal"
"SMC4","Myeloid cells",0.476394354766775,"Normal"
"SMC4","SMC1",0.0261492078621412,"Normal"
"SMC4","SMC2",2.75280572192549,"Normal"
"SMC4","SMC3",0.030633046999736,"Normal"
"SMC4","SMC4",1.35669711023754,"Normal"
"SMC4","SMC5",0.0274902197617762,"Normal"
"SMC5","Endothelial cells",0.0471934810957358,"Normal"
"SMC5","Fibroblasts",0.010352364435312,"Normal"
"SMC5","Lymphatic cells",0.616649900501578,"Normal"
"SMC5","Myeloid cells",0.567850601390415,"Normal"
"SMC5","SMC1",0.0193571768595992,"Normal"
"SMC5","SMC2",2.69344807191727,"Normal"
"SMC5","SMC3",0.0374352238645767,"Normal"
"SMC5","SMC4",1.41197650737792,"Normal"
"SMC5","SMC5",0.0330814553410581,"Normal"
"Endothelial cells","Endothelial cells",0.220422614032054,"AD"
"Endothelial cells","Fibroblasts",0.46086250001014,"AD"
"Endothelial cells","Lymphatic cells",0.143667899281596,"AD"
"Endothelial cells","Myeloid cells",0.32350551783485,"AD"
"Endothelial cells","SMC1",0.005362461829346,"AD"
"Endothelial cells","SMC2",0.93510725328868,"AD"
"Endothelial cells","SMC3",0.121750233835969,"AD"
"Endothelial cells","SMC4",0.146757681828364,"AD"
"Endothelial cells","SMC5",0.0152641397226013,"AD"
"Fibroblasts","Endothelial cells",0.153813379650178,"AD"
"Fibroblasts","Fibroblasts",1.32747072916186,"AD"
"Fibroblasts","Lymphatic cells",0.392182114976953,"AD"
"Fibroblasts","Myeloid cells",0.868170107430833,"AD"
"Fibroblasts","SMC1",0,"AD"
"Fibroblasts","SMC2",2.78215939352381,"AD"
"Fibroblasts","SMC3",0.313095624060378,"AD"
"Fibroblasts","SMC4",0.409388399824457,"AD"
"Fibroblasts","SMC5",0,"AD"
"Lymphatic cells","Endothelial cells",0.0106621881927715,"AD"
"Lymphatic cells","Fibroblasts",0.0459324981350385,"AD"
"Lymphatic cells","Lymphatic cells",0,"AD"
"Lymphatic cells","Myeloid cells",0,"AD"
"Lymphatic cells","SMC1",0,"AD"
"Lymphatic cells","SMC2",0.111188226845538,"AD"
"Lymphatic cells","SMC3",0,"AD"
"Lymphatic cells","SMC4",0,"AD"
"Lymphatic cells","SMC5",0,"AD"
"Myeloid cells","Endothelial cells",0.0285038151443662,"AD"
"Myeloid cells","Fibroblasts",0.0573848493204884,"AD"
"Myeloid cells","Lymphatic cells",0,"AD"
"Myeloid cells","Myeloid cells",0.0368548538207315,"AD"
"Myeloid cells","SMC1",0,"AD"
"Myeloid cells","SMC2",0.149094029619386,"AD"
"Myeloid cells","SMC3",0,"AD"
"Myeloid cells","SMC4",0,"AD"
"Myeloid cells","SMC5",0,"AD"
"SMC1","Endothelial cells",0.0117017760729596,"AD"
"SMC1","Fibroblasts",0.851259450350909,"AD"
"SMC1","Lymphatic cells",0.277401490517607,"AD"
"SMC1","Myeloid cells",0.565142365326171,"AD"
"SMC1","SMC1",0,"AD"
"SMC1","SMC2",1.72576590324224,"AD"
"SMC1","SMC3",0.203933882286893,"AD"
"SMC1","SMC4",0.283304095979442,"AD"
"SMC1","SMC5",0,"AD"
"SMC2","Endothelial cells",0.0559759602143523,"AD"
"SMC2","Fibroblasts",1.92139317863416,"AD"
"SMC2","Lymphatic cells",0.627103530163182,"AD"
"SMC2","Myeloid cells",1.27487677344556,"AD"
"SMC2","SMC1",0.0162866104440441,"AD"
"SMC2","SMC2",3.86594648237408,"AD"
"SMC2","SMC3",0.532767767480494,"AD"
"SMC2","SMC4",0.639015488731416,"AD"
"SMC2","SMC5",0.0499223915652053,"AD"
"SMC3","Endothelial cells",0.0762321749430808,"AD"
"SMC3","Fibroblasts",0.759146526080537,"AD"
"SMC3","Lymphatic cells",0.151091251938532,"AD"
"SMC3","Myeloid cells",0.494086351550909,"AD"
"SMC3","SMC1",0.0116186325188123,"AD"
"SMC3","SMC2",1.51162603592696,"AD"
"SMC3","SMC3",0.128349911498482,"AD"
"SMC3","SMC4",0.214333487664354,"AD"
"SMC3","SMC5",0.032789540261641,"AD"
"SMC4","Endothelial cells",0.0731759460633755,"AD"
"SMC4","Fibroblasts",0.901034946655082,"AD"
"SMC4","Lymphatic cells",0.244153592335684,"AD"
"SMC4","Myeloid cells",0.592097956084764,"AD"
"SMC4","SMC1",0.00740205779304666,"AD"
"SMC4","SMC2",1.86479207858407,"AD"
"SMC4","SMC3",0.207403636806068,"AD"
"SMC4","SMC4",0.297224861396496,"AD"
"SMC4","SMC5",0.0210389139376193,"AD"
"SMC5","Endothelial cells",0.00938202622193535,"AD"
"SMC5","Fibroblasts",1.14735258804421,"AD"
"SMC5","Lymphatic cells",0.38647904906805,"AD"
"SMC5","Myeloid cells",0.760602443015457,"AD"
"SMC5","SMC1",0,"AD"
"SMC5","SMC2",2.30911651704825,"AD"
"SMC5","SMC3",0.318357309156915,"AD"
"SMC5","SMC4",0.382796074492038,"AD"
"SMC5","SMC5",0,"AD"
